Nodo Ubic.,Id fuente,Nodo Direccion
AD27C,56,Ricardo Davel 2599 Longchamps Almirante Brown Buenos Aires
AV23,108,Tte. Cnel. Luis María Campos 2803 Sarandí Avellaneda Buenos Aires
AD31C,70,Carlos Morganti 990 Burzaco Almirante Brown Buenos Aires
AD12A,18,Olleros 998 Burzaco Almirante Brown Buenos Aires
AV28A,119,Coronel Dorrego 2290 Crucecita Avellaneda Buenos Aires
AD14A,24,Cervantes Saavedra 169 Burzaco Almirante Brown Buenos Aires
AV37B,149,Ushuaia 102 Gerli Avellaneda Buenos Aires
AV29B,123,Florentino Ameghino 1035 Avellaneda Avellaneda Buenos Aires
AD08B,8,Diag. Almte. Brown 1633 Adrogué Almirante Brown Provincia de Buenos Aires
EZ29D,27,Thames 503 Ezeiza Ezeiza BA
AD06B,5,Jacinto Calvo 1397 José Marmol Almirante Brown Buenos Aires
AD27A,54,Int. Perrando 2633 Longchamps Almirante Brown Buenos Aires
AV19,93,Caxaraville 681 Gerli Avellaneda Buenos Aires
AD28A,58,Alvarez de Santaclara 1049 Longchamps Almirante Brown Buenos Aires
AV33B,143,General San Martín 1214 Avellaneda Avellaneda Buenos Aires
AD27B,55,Alfonsina Storni 538 Longchamps Almirante Brown Buenos Aires
AV40A,165,Almirante Solier 1908 Sarandí Avellaneda Buenos Aires
FV06D,153,Juan Larrea 345 Florencio Varela Florencio Varela Buenos Aires
AD12C,19,Terrero 430 Burzaco Almirante Brown Buenos Aires
AD14C,26,Adolfo Alsina 546 Burzaco Almirante Brown Buenos Aires
AV50A,179,Sarmiento 742 Dock Sud Avellaneda Buenos Aires
AV44B,172,Av. Crisólogo Larralde 15 Piñeyro Avellaneda Provincia de Buenos Aires
AD30A,65,Luis Viale 101 Burzaco Almirante Brown Buenos Aires
QU21B,94,Condarco 2887 Quilmes Quilmes Provincia de Buenos Aires
AD28B,59,Buenos Aires 1299 Longchamps Almirante Brown Buenos Aires
AD26C,52,Julián Aguirre 2600 Glew Almirante Brown Buenos Aires
AV32D,129,Colón 646 Avellaneda Avellaneda Buenos Aires
AD17C,35,Int. Barbosa 1349 Longchamps Almirante Brown Buenos Aires
AD35B,76,San Francisco de Asís 279 Don Orione Almirante Brown Buenos Aires
AV14,1,Polonia 92 Wilde Avellaneda Provincia de Buenos Aires
AD11C,16,Justo German Bermúdez 1325 Burzaco Almirante Brown Buenos Aires
AV45B,174,Felipe Aldecoa 836 Piñeiro Avellaneda Buenos Aires
AV42C,168,Godoy Cruz 1607 Wilde Avellaneda Buenos Aires
AD20A,44,Virrey Cevallos 201 Ministro Rivadavia Almirante Brown Provincia de Buenos Aires
AD18D,38,San Ignacio 205 Longchamps Almirante Brown Buenos Aires
AD30B,66,Luis Viale 557 Burzaco Almirante Brown Buenos Aires
AD27D,57,Boedo 900 Longchamps Almirante Brown Buenos Aires
AD18A,36,Dr Yraola 700 Burzaco Almirante Brown Buenos Aires
AD35A,75,José Hernández 3538 Claypole Almirante Brown Buenos Aires
AV44D,173,Moisés Lebensohn 863 Avellaneda Avellaneda Buenos Aires
AV15,3,Polonia 815 Wilde Avellaneda Buenos Aires
AV49C,178,Sarmiento 560 Dock Sud Avellaneda Buenos Aires
AD24A,49,Joaquín V. González 1948 Burzaco Almirante Brown Buenos Aires
AV17,89,Pres. Domingo Faustino Sarmiento 2012 Gerli Avellaneda Buenos Aires
FV06A,151,Juan Larrea 908 Florencio Varela Florencio Varela Buenos Aires
AV20,99,Cnel. Casacuberta 792 Gerli Avellaneda Buenos Aires
AD32A,72,Guillermo Granville 2311 Claypole Almirante Brown Buenos Aires
AD15B,28,Int. Barbosa 118 Longchamps Almirante Brown Buenos Aires
AV50B,180,Pje Primera Junta 1287 Crucecita Avellaneda Buenos Aires
AD16A,31,Olavarria 3602 Longchamps Almirante Brown Buenos Aires
AV40C,166,Almirante Solier 2382 Sarandí Avellaneda Buenos Aires
AV27C,118,Cnel. Lacarra 274 Crucecita Avellaneda Buenos Aires
AV21,103,Luis Roasenda 1352 Crucecita Avellaneda Buenos Aires
AV19,92,Av Gral Güemes 1789 Gerli Avellaneda Buenos Aires
LP04A,14,Calle 43 2525 San Carlos La Plata Buenos Aires
AD16C,33,Pcia de Catamarca 1132 Longchamps Almirante Brown Buenos Aires
AD48A,84,Florida 1191 Burzaco Almirante Brown Buenos Aires
AV30D,124,Ing Marconi 588 Avellaneda Avellaneda Buenos Aires
AV36B,147,Av. Gral. Roca 1512 Crucecita Avellaneda Buenos Aires
AD16D,34,Comandante Manuel Prado 3491 Longchamps Almirante Brown Buenos Aires
AV01,133,Fabian Onzari 311 Wilde Avellaneda Buenos Aires
AV26,115,Estanislao Zeballos 3639 Sarandí Avellaneda Buenos Aires
AV37D,158,Paraguay 193 Piñeiro Avellaneda Buenos Aires
